name,ip,status,latency,datetime
Gateway,192.168.200.1,1,3.0,2023-11-04 15:13:07
LocalHost,127.0.0.1,1,0.03,2023-11-04 15:13:12
Gateway,192.168.200.1,1,3.44,2023-11-04 15:13:12
LocalHost,127.0.0.1,1,0.08,2023-11-04 15:13:17
Gateway,192.168.200.1,1,3.09,2023-11-04 15:13:17
LocalHost,127.0.0.1,1,0.01,2023-11-04 15:13:22
Gateway,192.168.200.1,1,3.89,2023-11-04 15:13:22
LocalHost,127.0.0.1,1,0.28,2023-11-04 15:13:35
Gateway,192.168.200.1,1,30.33,2023-11-04 15:13:35
LocalHost,127.0.0.1,1,0.02,2023-11-04 15:13:40
Gateway,192.168.200.1,1,2.22,2023-11-04 15:13:40
LocalHost,127.0.0.1,1,0.03,2023-11-04 15:13:45
Gateway,192.168.200.1,1,1.48,2023-11-04 15:13:45
LocalHost,127.0.0.1,1,0.08,2023-11-04 15:13:50
Gateway,192.168.200.1,1,1.74,2023-11-04 15:13:50
LocalHost,127.0.0.1,1,0.13,2023-11-04 15:20:40
Gateway,192.168.200.1,1,53.2,2023-11-04 15:20:40
LocalHost,127.0.0.1,1,0.08,2023-11-04 15:20:45
Gateway,192.168.200.1,1,4.15,2023-11-04 15:20:45
LocalHost,127.0.0.1,1,0.03,2023-11-04 15:20:50
Gateway,192.168.200.1,1,6.03,2023-11-04 15:20:50
LocalHost,127.0.0.1,1,0.04,2023-11-04 15:20:55
Gateway,192.168.200.1,1,1.76,2023-11-04 15:20:55
LocalHost,127.0.0.1,1,0.04,2023-11-04 15:21:00
Gateway,192.168.200.1,1,2.56,2023-11-04 15:21:00
LocalHost,127.0.0.1,1,0.12,2023-11-04 15:21:05
Gateway,192.168.200.1,1,1.68,2023-11-04 15:21:05
LocalHost,127.0.0.1,1,0.04,2023-11-04 15:21:10
Gateway,192.168.200.1,1,1.16,2023-11-04 15:21:10
LocalHost,127.0.0.1,1,0.08,2023-11-04 15:21:15
Gateway,192.168.200.1,1,1.84,2023-11-04 15:21:15
LocalHost,127.0.0.1,1,0.03,2023-11-04 15:21:20
Gateway,192.168.200.1,1,36.38,2023-11-04 15:21:20
LocalHost,127.0.0.1,1,0.01,2023-11-04 15:21:25
Gateway,192.168.200.1,1,1.7,2023-11-04 15:21:25
LocalHost,127.0.0.1,1,0.03,2023-11-04 15:21:30
Gateway,192.168.200.1,1,1.93,2023-11-04 15:21:30
LocalHost,127.0.0.1,1,0.05,2023-11-04 15:21:35
Gateway,192.168.200.1,1,1.41,2023-11-04 15:21:35
LocalHost,127.0.0.1,1,0.04,2023-11-04 15:21:40
Gateway,192.168.200.1,1,2.7,2023-11-04 15:21:40
LocalHost,127.0.0.1,1,0.04,2023-11-04 15:21:45
Gateway,192.168.200.1,1,1.12,2023-11-04 15:21:45
LocalHost,127.0.0.1,1,0.02,2023-11-04 15:21:50
Gateway,192.168.200.1,1,50.9,2023-11-04 15:21:50
LocalHost,127.0.0.1,1,0.02,2023-11-04 15:21:55
Gateway,192.168.200.1,1,1.44,2023-11-04 15:21:55
LocalHost,127.0.0.1,1,0.03,2023-11-04 15:22:00
Gateway,192.168.200.1,1,1.77,2023-11-04 15:22:00
LocalHost,127.0.0.1,1,0.08,2023-11-04 15:22:05
Gateway,192.168.200.1,1,1.59,2023-11-04 15:22:05
LocalHost,127.0.0.1,1,0.01,2023-11-04 15:22:10
Gateway,192.168.200.1,1,1.69,2023-11-04 15:22:10
LocalHost,127.0.0.1,1,0.02,2023-11-04 15:22:15
Gateway,192.168.200.1,1,1.59,2023-11-04 15:22:15
LocalHost,127.0.0.1,1,0.07,2023-11-04 15:22:20
